citation,location,lat,long,exact,collection_year,months,rep,temp,temp_units,feeding_rate,excretion_rate,fecundity,fecundity_standard_error,unit_fec,growth_rate,survival,survival_se,survival_units,food_type,food_amnt,size,size_sd,unit_size,,collected_by,Notes
"Gu, Lei, et al. ""Microcystis aeruginosa affects the inducible anti-predator responses of Ceriodaphnia cornuta."" Environmental Pollution (2020): 113952.","Lake Taihu 31 22' 13.548''N, 120 0'16''E, China",31.37043,120.004444,y,,,,,,,,107,1.8,time to first reproduction (h),,,,,M. aeruginosa,40,,,,,JW,all c. cornuta but likely very close
"Gu, Lei, et al. ""Microcystis aeruginosa affects the inducible anti-predator responses of Ceriodaphnia cornuta."" Environmental Pollution (2020): 113952.","Lake Taihu 31 22' 13.548''N, 120 0'16''E, China",31.37043,120.004444,y,,,,,,,,109,2,time to first reproduction (h),,,,,M. aeruginosa,60,,,,,JW,all c. cornuta but likely very close
"Gu, Lei, et al. ""Microcystis aeruginosa affects the inducible anti-predator responses of Ceriodaphnia cornuta."" Environmental Pollution (2020): 113952.","Lake Taihu 31 22' 13.548''N, 120 0'16''E, China",31.37043,120.004444,y,,,,,,,,128,5,time to first reproduction (h),,,,,M. aeruginosa,80,,,,,JW,all c. cornuta but likely very close
"Hanazato, Takayuki, and Masayuki Yasuno. ""Impact of predation of Neomysis intermedia on a zooplankton community in Lake Kasumigaura: With 5 figures in the text."" Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen 23.4 (1988): 2092-2098.","Lake Kasumingaura, Japan",36.073357,140.374937,y,1983-1985,,,,,,,,,,,,,,,,,,,,,
"Harding, D., and N. A. Rayner. ""The zooplankton community of Lake Kariba in 1962/63 following impoundment of the Zambezi River."" Southern African Journal of Aquatic Sciences 26.1 (2001): 9-15.","lake Kariba, Zimbabwe",-16.986886,28.028706,y,1962,November,,,,,,,,,,,,,,,,,,,,
"Harding, William R., and Susan Wright. ""Initial findings regarding changes in phyto-and zooplankton composition and abundance following the temporary drawdown and refilling of a shallow, hypertrophic South African coastal lake."" Lake and Reservoir Management 15.1 (1999): 47-53.",Zeekoevlei lake 10 km south of cape town,-34.059957,18.515381,y,1990-1996,,,,,,,,,,,,,,,,,,,,,
"Hart, Rob C. ""A limnological profile of the upper Okavango Delta at low water level."" Southern African Journal of Aquatic Science 23.2 (1997): 21-33.",Okavango swamp Botswana,-19.469886,23.000854,y,1986,Jan-Feb,,,,,,,,,,,,,,,,,,,,
"Havens, Karl E. ""Comparative analysis of lake plankton structure vs. function."" Aquatic sciences 61.2 (1999): 150-167.","Lake Okeechobee, Fl 27 00'N 80 50'W",27,-80.833333,y,1995-1996,,,,,,,,,,,,,,,,,,,,,
"Havens, Karl E. ""Zooplankton structure and potential food web interactions in the plankton of a subtropical chain-of-lakes."" The Scientific World Journal 2 (2002): 926-942.",East lake Tohopekaliga,28.2473,-81.369395,y,1997-1999,,,,,,,,,,,,,,,,,,,,,
"Havens, Karl E. ""Zooplankton structure and potential food web interactions in the plankton of a subtropical chain-of-lakes."" The Scientific World Journal 2 (2002): 926-942.",Lake Tohopekaliga,28.211212,-81.394836,y,1997-1999,,,,,,,,,,,,,,,,,,,,,
"Havens, Karl E. ""Zooplankton structure and potential food web interactions in the plankton of a subtropical chain-of-lakes."" The Scientific World Journal 2 (2002): 926-942.",Cypress lake,28.081589,-81.32377,y,1997-1999,,,,,,,,,,,,,,,,,,,,,
"Havens, Karl E. ""Zooplankton structure and potential food web interactions in the plankton of a subtropical chain-of-lakes."" The Scientific World Journal 2 (2002): 926-942.",Lake hatchineha,28.015565,-81.411516,y,1997-1999,,,,,,,,,,,,,,,,,,,,,
"Havens, Karl E. ""Zooplankton structure and potential food web interactions in the plankton of a subtropical chain-of-lakes."" The Scientific World Journal 2 (2002): 926-942.",Lake Kissimmee,27.921646,-81.284038,y,1997-1999,,,,,,,,,,,,,,,,,,,,,
"Henry, Raoul, et al. ""Plankton richness and abundance in several different hydrological situations in lakes lateral to a river: a case study in the mouth zone of a tributary into a tropical Reservoir."" Oecologia Australis 15.3 (2011): 537-558.","Paranapanema River, Jurumirim Reservoir Sao Paulo, Brazil",-22.928967,-50.700445,y,2001,July,,,,,,,,,,,,,,,,,,,,
"Hoang, Hang Thi Thu, et al. ""Impact of anthropogenic activities on water quality and plankton communities in the Day River (Red River Delta, Vietnam)."" Environmental monitoring and assessment 190.2 (2018): 67.","Day River, Vietnam",20.505504,105.894111,y,2015,,,,,,,,,,,,,,,,,,,,,
"Imoobe, T. O. T., and O. C. Akoma. ""Assessment of zooplankton community structure of the Bahir Dar gulf of Lake Tana, Ethiopia."" Ethiopian Journal of Environmental Studies and Management 1.2 (2008): 26-34.","Bahir Dar Gulf of Lake Tana, Ethiopia",11.603017,37.38035,y,,,,,,,,,,,,,,,,,,,,,,
"Matsumura-Tundisi, T., et al. ""Carbon content and composition of zooplankton fractions in two reservoirs of Central Brazil: Serra da Mesa and Manso."" Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen 29.5 (2006): 2237-2244.",13 49'30 S 48 18'37''W,-13.825,-48.310278,y,2003,,,,,,,,,,,,,,,,,,,,,
"Matsumura-Tundisi, T., et al. ""Carbon content and composition of zooplankton fractions in two reservoirs of Central Brazil: Serra da Mesa and Manso."" Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen 29.5 (2006): 2237-2244.",14 30'54''S 49 02'44''W,-14.515,-49.045556,y,2003,,,,,,,,,,,,,,,,,,,,,
"Matsumura-Tundisi, T., et al. ""Carbon content and composition of zooplankton fractions in two reservoirs of Central Brazil: Serra da Mesa and Manso."" Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen 29.5 (2006): 2237-2244.",14 53'09''S 55 47' 43''W,-14.885833,-55.795278,y,2003,,,,,,,,,,,,,,,,,,,,,
"Matsumura-Tundisi, T., et al. ""Carbon content and composition of zooplankton fractions in two reservoirs of Central Brazil: Serra da Mesa and Manso."" Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen 29.5 (2006): 2237-2244.",14 50'28''S 55 41' 55''W,-14.841111,-55.698611,y,2003,,,,,,,,,,,,,,,,,,,,,
"Mavuti, Kenneth Muema. ""Ecology and role of zooplankton in the fishery of Lake Naivasha."" Hydrobiologia 208.1-2 (1990): 131-140.","Lake Naivasha, Kenya",-0.759273,36.375426,y,1978-1980,,,,,,,,,,,,,,,,,,,,,
"Nhiwatiwa, Tamuka, Luc Brendonck, and Tatenda Dalu. ""Understanding factors structuring zooplankton and macroinvertebrate assemblages in ephemeral pans."" Limnologica 64 (2017): 11-19.","Save valley Wildlife Conservancy, Lowveld Region of Zimbabwe (lat 20.15 to 20.45, Lon 32.1-32.6",-20.567117,32.142735,y,,,,,,,,,,,,,,,,,,,,,,
"Nogueira, Marcos G., Paula Caroline Reis Oliveira, and Yvana Tenorio de Britto. ""Zooplankton assemblages (Copepoda and Cladocera) in a cascade of reservoirs of a large tropical river (SE Brazil)."" Limnetica 27.1 (2008): 151-170.","Paranapanema River, Jurumirim Reservoir Sao Paulo, Brazil",-23.261311,-48.969317,y,"20,002,001",,,,,,,,,,,,,,,,,,,,,
"Panarelli, E. A., A. M. Güntzel, and C. N. Borges. ""How does the Taquari River influence in the cladoceran assemblages in three oxbow lakes?."" Brazilian Journal of Biology 73.4 (2013): 717-725.",18 25'58''S 54 51'8''W,-18.432778,-54.852222,y,"20,052,006",,,,,,,,,,,,,,,,,,,,,
"Panarelli, E. A., A. M. Güntzel, and C. N. Borges. ""How does the Taquari River influence in the cladoceran assemblages in three oxbow lakes?."" Brazilian Journal of Biology 73.4 (2013): 717-725.",18 25'35''S 54 51' 40''W,-18.426389,-54.861111,y,"20,052,006",,,,,,,,,,,,,,,,,,,,,
"Portinho, Jorge L., Gilmar Perbiche‐Neves, and Marcos G. Nogueira. ""Zooplankton community and tributary effects in free‐flowing section downstream a large tropical reservoir."" International Review of Hydrobiology 101.1-2 (2016): 48-56.",24 02'42''/ 25 27' 34'' S; 54 13' 03''/ 54 45'30''W,-24.045,-54.2175,y,"2009, 2010",,,,,,,,,,,,,,,,,,,,,
"Portinho, Jorge L., Gilmar Perbiche‐Neves, and Marcos G. Nogueira. ""Zooplankton community and tributary effects in free‐flowing section downstream a large tropical reservoir."" International Review of Hydrobiology 101.1-2 (2016): 48-56.",24 02'42''/ 25 27' 34'' S; 54 13' 03''/ 54 45'30''W,-25.459444,-54.758333,y,"2009, 2010",,,,,,,,,,,,,,,,,,,,,
"Rabee, Adel M. ""The effect of al-tharthar-euphrates canal on the quantitative and qualitative composition of zooplankton in euphrates River."" Al-Nahrain Journal of Science 13.3 (2010): 120-128.","Al-Thartar-Euphrates Canal, Iraq",33.42511,43.603683,y,2009,,,,,,,,,,,,,,,,,,,,,
"Riddhi, Sharma, et al. ""Studies on Limnological Characteristic, Planktonic Diversity and Fishes (Species) in Lake Pichhola, Udaipur, Rajasthan (India)."" Universal Journal of Environmental Research & Technology 1.3 (2011).","Pichola Lake, Rajasthan 24 34'N 73 40' E",24.566667,73.666667,y,"2005, 2006, 2007",,,,,,,,,,,,,,,,,,,,,
"Robinson, A. H., and Patricia K. Robinson. ""Seasonal distribution of zooplankton in the northern basin of Lake Chad."" Journal of Zoology 163.1 (1971): 25-61.",Lake Chad,13.122976,14.449647,y,"1967, 1968",,,,,,,,,,,,,,,,,,,,,
"Roy, S. P., et al. ""Spatio-temporal distribution and community structure of zooplankton in the Gangetic Dolphin Sanctuary, 2009."" Aquatic ecosystem health & management 16.4 (2013): 374-384.","Ganga River,25.246N 86.74E ",25.246,86.74,y,,,,,,,,,,,,,,,,,,,,,,indicator species of sultanpur community
"Rzoska, J. ""Notes on the crustacean plankton of Lake Victoria."" Proceedings of the Linnean Society of London. Vol. 168. No. 1‐2. Oxford, UK: Blackwell Publishing Ltd, 1957.",Lake Victoria,-0.496404,33.41942,y,,,,,,,,,,,,,,,,,,,,,,
"Rzoska, J. ""Zooplankton of the Nile system."" The Nile, biology of an ancient river. Springer, Dordrecht, 1976. 333-343.",L. Tana,12.079558,37.305603,y,,,,,,,,,,,,,,,,,,,,,,
"Saha, Sarmistha, Tapan Saha, and Parthiba Basu. ""Seasonal changes in zooplankton and macro-fauna populations of the east Calcutta wetland fish ponds."" Proceedings of the Zoological Society. Vol. 70. No. 2. Springer India, 2017.",22 25' - 22 40' N 88 20' - 88 35' E Kolkata Wetlands,22.55,88.416667,y,2011 - 2013,,,,,,,,,,,,,,,,,,,,,
"Sartori, Luciana Pinto, et al. ""Zooplankton fluctuations in Jurumirim Reservoir (São Paulo, Brazil): a three-year study."" Brazilian Journal of Biology 69.1 (2009): 1-18.","Jurumirim Reservoir, 23 12' 17''S 49 13' 19'' W",-23.204722,-49.221944,y,"1992, 1993, 1994, 1995",,,,,,,,,,,,,,,,,,,,,
"Scharler, U. M., et al. ""Effects of prolonged mouth closure in a temporarily open/closed estuary: a summary of the responses of invertebrate communities in the uMdloti Estuary, South Africa."" African Journal of Aquatic Science (2020): 1-10.","uMdloti Estuary, 25 km N of Durban, KwaZulu-Natal",-29.712579,31.093318,y,"2014, 2015, 2016",,,,,,,,,,,,,,,,,,,,,
"Serafim-Júnior, M., et al. ""Continuity effects on rotifers and microcrustaceans caused by the construction of a downstream reservoir in a cascade series (Iguaçu River, Brazil)."" Brazilian Journal of Biology 76.2 (2016): 279-291.",Igauacu River / Salto Caxias Reservoir 25 32' 35''S 53 29' 43''W,-25.543056,-53.495278,y,,,,,,,,,,,,,,,,,,,,,,
"Sharma, Vipul, et al. ""A report on the freshwater Cladocera (Crustacea: Branchiopoda) of south Rajasthan (India)."" International Journal of Environmental Sciences 3.1 (2012): 275-296.",South Rajsamanda 23 11' to 27 50' N 72 16' to 75 25' E,23.416667,72.333333,y,,,,,,,,,,,,,,,,,,,,,,
"Sharma, Vipul, et al. ""Trophic status and zooplankton diversity of Lake Jaisamand in relation to its physico-chemical characteristics."" Proceedings of Taal2007: the 12th World Lake conference. Vol. 490. 2006.","Jaisamand Lake, 54 km S-east of Udaipur",24.249976,73.98894,y,"2004, 2005, 2006",,,,,,,,,,,,,,,,,,,,,
"Silva, Erika dos Santos, Odete Rocha, and Maria José dos Santos-Wisniewski. ""Diel vertical migration of Cladocera in a compartment of a tropical reservoir."" Acta Limnologica Brasiliensia 30 (2018).","Sapucai river, 21 22' 16'' S 46 00' 06'' W",-21.371111,-46.001667,y,,,,,,,,,,,,,,,,,,,,,,
"Soesbergen, Martin, and Jos Sinkeldam. ""An annotated checklist of the Branchiopoda (Crustacea) of the Dutch Caribbean islands."" Zootaxa 4701.1 (2019): 25-34.",St. martin 18 2' 06'' N 63 03' 26'' W,18.035,-63.057222,y,"2003, 2004, 2005, 2008",,,,,,,,,,,,,,,,,,,,,
"Soesbergen, Martin, and Jos Sinkeldam. ""An annotated checklist of the Branchiopoda (Crustacea) of the Dutch Caribbean islands."" Zootaxa 4701.1 (2019): 25-34.",St. martin 18 01 48'' N 63 03' 22'' W,18.03,-63.056111,y,"2003, 2004, 2005, 2008",,,,,,,,,,,,,,,,,,,,,
"Tagliarolo, M., et al. ""Zooplankton metabolism in South African estuaries: does habitat type influence ecological strategies?."" Journal of Plankton Research 41.4 (2019): 535-548.",Mdlotia Estuary 29 38'S 31 08' E,-29.633333,31.133333,y,,,,,,,,,,,,,,,,,,,,,,
"Tagliarolo, M., et al. ""Zooplankton metabolism in South African estuaries: does habitat type influence ecological strategies?."" Journal of Plankton Research 41.4 (2019): 535-548.",Mlalazi Esturay,-28.942897,31.817887,y,28 56'S 31 48' E,,,,,,,,,,,,,,,,,,,,,
"Tanaka, Susumu, and Akifumi Ohtaka. ""Freshwater Cladocera (Crustacea, Branchiopoda) in Lake Tonle Sap and its adjacent waters in Cambodia."" Limnology 11.2 (2010): 171-178.","Lake Tonle Sap, Cambodia",12.984833,104.047427,y,"2000, 2001, 2002, 2003, 2004",,,,,,,,,,,,,,,,,,,,,
"Yamamoto, Hidekazu, and Humitake Seki. ""Impact of nutrient enrichment in a waterchestnut ecosystem at Takahama-iri Bay of Lake Kasumigaura, Japan."" Water, Air, and Soil Pollution 12.4 (1979): 519-527.","Ttakahama iri bay of lake kasumigaura, Japan",36.065428,140.384438,y,,,,,,,,,,,,,,,,,,,,,,
"ZAGO, MARLENE SOFIA ARCIFA. ""The planktonie Cladoeera (Crustacea) and aspects of the eutrophication of Americana Reservoir, Brazil.""",Americana Reservoir 22 44'20'' S 44 19' 22'' W,-22.738889,-44.322778,y,"1969, 1970, 1971, 1972",,,,,,,,,,,,,,,,,,,,,
"Campanelli Mortari, Rafael, and Raoul Henry. ""Horizontal distribution of Cladocera in a subtropical lake marginal to a river."" Journal of limnology (2016): 109-120.",Camargo lake 23 30' 10'' S 48 42' 35'' W,-23.502778,-48.709722,y,"2006, 2007","December, January",,,,,,,,,,,,,,,,,,,,
"Leitão, A. C., et al. ""Zooplankton community composition and abundance of two Brazilian semiarid reservoirs."" Acta Limnologica Brasiliensia 18.4 (2006): 451-468.",Pacajus 4 20'S 38 40'W,-4.333333,-38.666667,y,,,,,,,,,,,,,,,,,,,,,,
"Leitão, A. C., et al. ""Zooplankton community composition and abundance of two Brazilian semiarid reservoirs."" Acta Limnologica Brasiliensia 18.4 (2006): 451-468.",Gaviao 3 55'S 38 35' W,-3.916667,-38.583333,y,,,,,,,,,,,,,,,,,,,,,,
"Lucena, Ludmilla Cavalcanti Antunes, Thaís Xavier de Melo, and Elvio Sergio Figueredo Medeiros. ""Zooplankton community of Parnaíba River, Northeastern Brazil."" Acta Limnologica Brasiliensia 27.1 (2015): 118-129.",06°47’44.1’’S 043°16’39.5’’W;,-6.795583,-43.277639,y,,,,,,,,,,,,,,,,,,,,,,
"Lucena, Ludmilla Cavalcanti Antunes, Thaís Xavier de Melo, and Elvio Sergio Figueredo Medeiros. ""Zooplankton community of Parnaíba River, Northeastern Brazil."" Acta Limnologica Brasiliensia 27.1 (2015): 118-129.",R7. 04°34’52.3’’S 042°52’31.3’’W;,-4.581194,-42.875361,y,,,,,,,,,,,,,,,,,,,,,,
"Lucena, Ludmilla Cavalcanti Antunes, Thaís Xavier de Melo, and Elvio Sergio Figueredo Medeiros. ""Zooplankton community of Parnaíba River, Northeastern Brazil."" Acta Limnologica Brasiliensia 27.1 (2015): 118-129.",03°54’06.9’’S 042°43’27.8’’W;,-3.901917,-42.724389,y,,,,,,,,,,,,,,,,,,,,,,
"Lucena, Ludmilla Cavalcanti Antunes, Thaís Xavier de Melo, and Elvio Sergio Figueredo Medeiros. ""Zooplankton community of Parnaíba River, Northeastern Brazil."" Acta Limnologica Brasiliensia 27.1 (2015): 118-129.",03°18’24.8’’S 42 05'36''W,-3.306889,-42.093333,y,,,,,,,,,,,,,,,,,,,,,,
"Montes-Ortiz, Lucia, and Manuel ELÍAS-GUTIÉRREZ. ""Faunistic survey of the zooplankton community in an oligotrophic sinkhole, Cenote Azul (Quintana Roo, Mexico), using different sampling methods, and documented with DNA barcodes."" Journal of Limnology 77.3 (2018): 428-440.",Cenote Azul 18.647 N 88.412 W,18.647,-88.412,y,"2016, 2017, 2017","September, January, April",,,,,,,,,,,,,,,,,,,,
"Sampaio, E. V., et al. ""Composition and abundance of zooplankton in the limnetic zone of seven reservoirs of the Paranapanema River, Brazil."" Brazilian Journal of Biology 62.3 (2002): 525-545.","Jurumirim Reservoir, 23 12' 17''S 49 13' 19'' W",-23.204722,-49.221944,y,,,,,,,,,,,,,,,,,,,,,,
"Biswas, S. ""Cladocerans (Crustacea: Branchiopoda) from Assam and adjacent hill states in North East India."" Rec. zool. Surv. India 76 (1980): 93-113.",Balao Talao 5 km SE of Julga Lake,,,,,,,,,,,,,,,,,,,,,,,,JW,
"Biswas, S. ""Cladocerans (Crustacea: Branchiopoda) from Assam and adjacent hill states in North East India."" Rec. zool. Surv. India 76 (1980): 93-113.","Narayana Talao, Narayana",,,,,,,,,,,,,,,,,,,,,,,,JW,
"Biswas, S. ""Cladocerans (Crustacea: Branchiopoda) from Assam and adjacent hill states in North East India."" Rec. zool. Surv. India 76 (1980): 93-113.","Kalo Talao, Narayana",,,,,,,,,,,,,,,,,,,,,,,,JW,
"Biswas, S. ""Cladocerans (Crustacea: Branchiopoda) from Assam and adjacent hill states in North East India."" Rec. zool. Surv. India 76 (1980): 93-113.","Narinsar, 6km Phulera Rd",,,,,,,,,,,,,,,,,,,,,,,,JW,
"Biswas, S. ""Cladocerans (Crustacea: Branchiopoda) from Assam and adjacent hill states in North East India."" Rec. zool. Surv. India 76 (1980): 93-113.",Bhap Tank 11km from Barmer Town,,,,,,,,,,,,,,,,,,,,,,,,JW,
"Biswas, S. ""Fauna of Rajasthan, India. Part II. Crustacea: Cladocera."" Rec. zool. Surv. India 63.1-2 (1971): 95-141.",ward lake/ shillong India,,,,,,,,,,,,,,,,,,,,,,,,JW,
"Bromley, Heather J. ""A checklist of the Cladocera of Israel and Eastern Sinai."" Hydrobiologia 257.1 (1993): 21-28.","Kinneret Lake, Israel",32.833086,35.522128,y,,,,,,,,,,,,,,,,,,,,,JW,
"Havel, John E., E. Matt Eisenbacher, and Alice A. Black. ""Diversity of crustacean zooplankton in riparian wetlands: colonization and egg banks."" Aquatic Ecology 34.1 (2000): 63-76.",Missouri River wetlands,,,,,,,,,,,,,,,,,,,,,,,,,
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,,,,,,,,,,,,,,,,,,,,
"Mohammed, A. ""An approach for assessing the suitability of Ceriodaphnia rigaudii as an indigenous tropical toxicity test species."" Toxicological & Environmental Chemistry 91.1 (2009): 79-86.","Valencia, Trinidad",10.653269,-61.199856,n,,,,,,,,4,,average brood size,,,,,,,,,,,,
"Panarelli, Eliana A., Silvia MC Casanova, and Raoul Henry. ""Secondary production and biomass of Cladocera in marginal lakes after the recovery of their hydrologic connectivity in a river–reservoir transition zone."" Lakes & Reservoirs: Research & Management 15.4 (2010): 319-334.","Lake Camargo , sao Paulo Brazil",,,,"2,001",,,,,,,,,,,,,,,,,,,,,
"Panarelli, Eliana A., Silvia MC Casanova, and Raoul Henry. ""Secondary production and biomass of Cladocera in marginal lakes after the recovery of their hydrologic connectivity in a river–reservoir transition zone."" Lakes & Reservoirs: Research & Management 15.4 (2010): 319-334.","Lake Coqueiral, Sao Paulo Brazil",,,,"2,001",,,,,,,,,,,,,,,,,,,,,
"Rzoska, J. ""Zooplankton of the Nile system."" The Nile, biology of an ancient river. Springer, Dordrecht, 1976. 333-343.",Lake Victoria,-0.496404,33.41942,y,,,,,,,,,,,,,,,,,,,,,,
"Sendacz, S. ""Zooplankton studies of floodplain lakes of the upper Paraná river, São Paulo State, Brazil."" Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen 26.2 (1997): 621-627.",Lake Comprida,,,,,,,,,,,,,,,,,,,,,,,,,
"Sendacz, S. ""Zooplankton studies of floodplain lakes of the upper Paraná river, São Paulo State, Brazil."" Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen 26.2 (1997): 621-627.",Lake Jota,,,,,,,,,,,,,,,,,,,,,,,,,
"Sendacz, S., S. Caleffi, and J. Santos-Soares. ""Zooplankton biomass of reservoirs in different trophic conditions in the state of São Paulo, Brazil."" Brazilian Journal of Biology 66.1B (2006): 337-350.",Ponte Nova Reservoir,,,,,,,,,,,,,,,,,,,,,,,,,
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,20,c,,,2.9,,average clutch size,,48.7,,day,P.subcapitata,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,20,c,,,2.7,,average clutch size,,35.4,,day,C. vulgaris,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,25,c,,,5.5,,average clutch size,,31,,day,A. falcatus,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,25,c,,,7,,average clutch size,,27.8,,day,P.subcapitata,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,25,c,,,6.6,,average clutch size,,15.2,,day,C. vulgaris,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,20,c,,,35.4,,total offsping per indiv,,,,,A. falcatus,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,20,c,,,25.1,,total offsping per indiv,,,,,P.subcapitata,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,20,c,,,9.8,,total offsping per indiv,,,,,C. vulgaris,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,25,c,,,45,,total offsping per indiv,,,,,A. falcatus,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,25,c,,,40.8,,total offsping per indiv,,,,,P.subcapitata,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,25,c,,,18.4,,total offsping per indiv,,,,,C. vulgaris,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,20,c,,,11,,clutches,,,,,A. falcatus,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,20,c,,,8,,clutches,,,,,P.subcapitata,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,20,c,,,3.4,,clutches,,,,,C. vulgaris,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,25,c,,,7.5,,clutches,,,,,A. falcatus,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,25,c,,,5.4,,clutches,,,,,P.subcapitata,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,25,c,,,2.9,,clutches,,,,,C. vulgaris,,,,,,,error bars present but doesn't say what error is..
