Authors,Title,Genus,species,Replicates,Temp,Max_filtering,sd_filtering,CI_filtering_upper,CI_filtering_low,units,half_saturation food density,half_sat_sd,half_sat_units,,algal_conc,daphnia_size,Excretion rate,exc_rate_mg_per_ind_day,sd_error_excretion,units_excretion,daphnia_reproduction,sd_repro,units_reproduction,daphnia_growth,sd_growth,95_growth,units_growth,daphnia_survival,sd_survival,95CI,range,units_survival,food_type,ammoium conc,units,nitrogen removal,units,max_ammonium_uptake,max_uptake_mg_day,max_uptake_units,max_uptake_sd,half_sat_amm,units,half_sat_mg_N_L ,sd_half_sat,range_half_sat,nitrogen removal,units,sd,death_rate,units_death,algal_death_per_day,95_conf_death,sd_death,range_death,growth_rate,units,sd,range,time_period(days),fit_method,nitrification,units,convert_mg_N_day,sd,range,75 quartile,N_conversion efficiency,Notes
Xin et al 2012,"Effects of different nitrogen and phosphorus concentrations on the growth, nutrient uptake, and lipid accumulation of a freshwater microalga Scenedesmus sp.",Scenedesmus,LX3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,TN mg per liter,,,,,,,,,,,,,,,,,,,,,0.81,10^6 cells ml per day,0.05,,,,,,,,,,,
Xin et al 2013,"Effects of different nitrogen and phosphorus concentrations on the growth, nutrient uptake, and lipid accumulation of a freshwater microalga Scenedesmus sp.",Scenedesmus,LX4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,TN mg per liter,,,,,,,,,,,,,,,,,,,,,1.01,10^6 cells ml per day,0.03,,,,,,,,,,,
Xin et al 2014,"Effects of different nitrogen and phosphorus concentrations on the growth, nutrient uptake, and lipid accumulation of a freshwater microalga Scenedesmus sp.",Scenedesmus,LX5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,TN mg per liter,,,,,,,,,,,,,,,,,,,,,1.34,10^6 cells ml per day,0.08,,,,,,,,,,,
Bastviken et al 2003,Potential nitrification and denitrification on different surfaces in a constructed treatment wetland,mixed,macroalgae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,mg N per g per dry weight day,2.9,,4.86,,,
Carrera et al 2004,Effect of influent COD/N ratio on biological nitrogen removal (BNR) from high-strength ammonium industrial wastewater,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,g NH4-N g per VSS per day,0.029,0.004,,,,VSS volatile suspended solids
Carrera et al 2005,Effect of influent COD/N ratio on biological nitrogen removal (BNR) from high-strength ammonium industrial wastewater,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047,g NH4-N g per VSS per day,0.047,0.013,,,,
Carrera et al 2006,Effect of influent COD/N ratio on biological nitrogen removal (BNR) from high-strength ammonium industrial wastewater,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,g NH4-N g per VSS per day,0.064,0.018,,,,
Carrera et al 2007,Effect of influent COD/N ratio on biological nitrogen removal (BNR) from high-strength ammonium industrial wastewater,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,g NH4-N g per VSS per day,0.14,0.02,,,,
Carrera et al 2008,Effect of influent COD/N ratio on biological nitrogen removal (BNR) from high-strength ammonium industrial wastewater,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085,g NH4-N g per VSS per day,0.085,0.013,,,,
Carrera et al 2009,Effect of influent COD/N ratio on biological nitrogen removal (BNR) from high-strength ammonium industrial wastewater,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,g NH4-N g per VSS per day,0.032,0.007,,,,
Chen et al 2010,Adverse effects of ammonia on nitrification process: the case of chinese shallow freshwater lakes,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,mgN per liter day,0.18,,,0.2114,,yuehu
Chen et al 2011,Adverse effects of ammonia on nitrification process: the case of chinese shallow freshwater lakes,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,mgN per liter day,0.05,,,0.06,,dianchi
Chen et al 2012,Adverse effects of ammonia on nitrification process: the case of chinese shallow freshwater lakes,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,mgN per liter day,0.007,,,0.011,,houguan
Chen et al 2013,Adverse effects of ammonia on nitrification process: the case of chinese shallow freshwater lakes,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,mgN per liter day,0.004,,,0.008,,baoan
Damashek et al 2015,Benthic ammonia oxidizers differ in community structure and biogeochemical potential across a riverine delta,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.41,nmol Nox per gram per hour,0.949431344,2.49,,,,
Damashek et al 2016,Benthic ammonia oxidizers differ in community structure and biogeochemical potential across a riverine delta,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.29,nmol Nox per gram per hour,0.142046306,1.01,,,,
Damashek et al 2017,Benthic ammonia oxidizers differ in community structure and biogeochemical potential across a riverine delta,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.38,nmol Nox per gram per hour,0.194992396,0.66,,,,
Damashek et al 2018,Benthic ammonia oxidizers differ in community structure and biogeochemical potential across a riverine delta,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.74,nmol Nox per gram per hour,2.03456917,24.86,,,,
Damashek et al 2019,Benthic ammonia oxidizers differ in community structure and biogeochemical potential across a riverine delta,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,nmol Nox per gram per hour,2.50165992,70.97,,,,
Damashek et al 2020,Benthic ammonia oxidizers differ in community structure and biogeochemical potential across a riverine delta,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.97,nmol Nox per gram per hour,0.821949496,2.6,,,,
Damashek et al 2021,Benthic ammonia oxidizers differ in community structure and biogeochemical potential across a riverine delta,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.33,nmol Nox per gram per hour,0.348347577,2.2,,,,
"Knops, Altenburger, Segner","Alterations of physiological energetics, growth and reproduction of Daphnia magna under toxicant stress",Daphnia,magna,1,20,,,,,,,,,,,,,,,,3.875,,per indiv per day,,,,,,,,,,Scenedesmus vacuolatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodar et al 1988,Effect of cadmium on the reproduction strategy of Daphnia magna,Daphnia,magna,4,20,,,,,,,,,,,,,,,,3.32,0.16,per indiv per day,9.7,0.2,,days to first brood,,,,,,Chlorella pyrenoidosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brausch et al 2010,"Effects of functionalized fullerenes on bifenthrin and tribufos toxicity to daphnia magna: survival, reproduction, and growth rate",Daphnia,magna,10,24,,,,,,,,,,,,,,,,1.457142857,0.457142857,per indiv per day,10.1,1.7,,days to first brood,,,,,,P. subcapitata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control of bifenthrin only experiment
Brausch et al 2010,"Effects of functionalized fullerenes on bifenthrin and tribufos toxicity to daphnia magna: survival, reproduction, and growth rate",Daphnia,magna,10,24,,,,,,,,,,,,,,,,2.161904762,0.476190476,per indiv per day,9.4,0.8,,days to first brood,,,,,,P. subcapitata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,contro of tribufos only experiment
Bridges et al 1996,"Chronic toxicity of Great lakes sediments to Daphnia magna: elutriate effects on survival, reproduction and population growth",Daphnia,magna,10,20,,,,,,,,,,,,,,,,4.947619048,0.737864787,per indiv per day,11.9,1.865743819,,days to first brood,,,,,,mixed trout chow and Selenastrum capricornutum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fernandez-Casalderrey, Ferrando, and Andreu-Moliner 1993","Effects of endosulfan on survival, growth, and reproduction of Daphnia magna",Daphnia,magna,15,22,,,,,,,,,,,,,,,,3.192857143,0.128095238,per indiv per day,8,0.27,,days to first brood,20.7,0.26,,,longevitity,Nannochloris oculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chevre et al 2005,"Modeling the concentration-response function of the herbicide dinoseb of Daphnia magna (survival time, reproduction) and Pseudokirchneriella subcapitata (growth rate)",Daphnia,magna,6,,,,,,,,,,,,,,,,,,,,,,,,50.41,,36.8-70.3,,days to death,Pseudokirchneriella subcapitata,,,,,,,,,,,,,,,,,,,,,,,0.053,72hr,,.05-.056 (95CI),,,,,,,,,,
Dave 1984a,"Effects of waterborne iron on growth, reproduction, survival and haemoglobin in Daphnia magna",Daphnia,magna,9,20,,,,,,,,,,,,,,,,,,,,,,,28.4,,,26.2-30.8,days to death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haeba et al 2008,"Selected endocrine disrupting compounds (vinclozolin, flutamide, ketoconazole and dicofol): effects on survival, occurrence of males, growth, molting and reproduction of Daphnia magna",Daphnia,magna,10,20,,,,,,,,,,,,,,,,1.428571429,1.023975623,per indiv per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayashi et al 2008,Reproduction recovery of the crustacean Daphnia magna after chronic exposure to ibuprofen,Daphnia,magna,10,20,,,,,,,,,,,,,,,,7,1.160555901,per indiv per day,9.4,0.853814968,,days to first brood,,,,,,Chlorella vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamaya, Tokita and Suzuki 2005","Effects of dehydroabietic acid and abietic acid on survival, reproduction, and growth of the crustacean Daphnia magna",Daphnia,magna,,,,,,,,,,,,,,,,,,,,,5,1.3,,days to maturity,,,,,,Selenastrum capricornutum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lurling and Tolman 2009,"Effects of lanthanum and lanthanum-modified clay on growth, survival and reproduction of Daphnia magna",Daphnia,magna,3,20,,,,,,,,,,,,,,,,,,,7.9,0.3,,days to first brood,,,,,,Scenedesmus obliquus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinez-Jeronimo et al 1994,"Effect of food type and concentration on the survival, longevity, and reproduction of Daphnia magna",Daphnia,magna,20,19,,,,,,,,,,,,,,,,,,,12.8,,0.3,days to first brood,85.8,,10.9,,,Ankistrodesmus falcatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinez-Jeronimo et al 1995,"Effect of food type and concentration on the survival, longevity, and reproduction of Daphnia magna",Daphnia,magna,20,19,,,,,,,,,,,,,,,,,,,12.1,,0.1,days to first brood,74.2,,13.5,,,Ankistrodesmus falcatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinez-Jeronimo et al 1996,"Effect of food type and concentration on the survival, longevity, and reproduction of Daphnia magna",Daphnia,magna,20,19,,,,,,,,,,,,,,,,,,,11.8,,0.2,days to first brood,40.5,,3,,,Ankistrodesmus falcatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinez-Jeronimo et al 1997,"Effect of food type and concentration on the survival, longevity, and reproduction of Daphnia magna",Daphnia,magna,20,19,,,,,,,,,,,,,,,,,,,11.8,,0.3,days to first brood,76.8,,8.3,,,Scenedesmus incrassatulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinez-Jeronimo et al 1998,"Effect of food type and concentration on the survival, longevity, and reproduction of Daphnia magna",Daphnia,magna,20,19,,,,,,,,,,,,,,,,,,,11.1,,0.3,days to first brood,71.6,,11.7,,,Scenedesmus incrassatulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinez-Jeronimo et al 1999,"Effect of food type and concentration on the survival, longevity, and reproduction of Daphnia magna",Daphnia,magna,20,19,,,,,,,,,,,,,,,,,,,11.7,,0.9,days to first brood,48.3,,8.8,,,Scenedesmus incrassatulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sancho, Villarroel and Ferrando 2016","Assessment of chronic effects of tebuconazole on survival, reproduction and growth of Daphnia magna after different exposure times",Daphnia,magna,15,22,,,,,,,,,,,,,,,,6.271428571,1.383208338,per indiv per day,7.8,0.774596669,,days to first brood,,,,,,Nannochloris oculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villarroel et al 2003,"Acute, chronic and sublethal effects of the herbicide propanil on Daphnia magna",Daphnia,magna,15,22,,,,,,,,,,,,,,,,6.271428571,0.719047619,per indiv per day,7.8,0.3,,day to first brood,,,,,,Nannochloris oculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeman et al 2008,"Effects of waterborne uranium on survival, growth, reproduction and physiological processes of the freshwater cladoceran Daphnia magna",Daphnia,magna,10,20,,,,,,,,,,,,,,,,3.238095238,0.225876976,per indiv per day,,,,,,,,,,Chlamydomonas reinhardtii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhu, Chang, and Chen 2010",Toxicity and bioaccumulation of TiO2 nanoparticle aggregates in Daphnia magna,Daphnia,magna,10,22,,,,,,,,,,,,,,,,9.603333333,1.252857143,per indiv per day,9.67,1.15,,days to first brood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Reasi et al 2013,The effect of dissolved organic matter (DOM) on sodium transport and nitrogenous wastete excretion of the freshwater cladoceran (Daphnia magna) at circumneutral and low pH,Daphnia,magna,4,23,,,,,,,,,,,,2.2,,0.2,umol per gram per hour,,,,,,,,,,,,,Selenastrum capricornutum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arner and Koivisto 1993,Effects of salinity on metabolism and life history characteristics of Daphnia magna,Daphnia,magna,2,21,,,,,,,,,,,,3.133333333,0.0752,0.160277537,ug per liter per hour per indiv,,,,,,,,,,,,,Scenedesmus obtusiusculus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,about 150 indiv so divided it out
Arner and Koivisto 1993,Effects of salinity on metabolism and life history characteristics of Daphnia magna,Daphnia,magna,2,21,,,,,,,,,,,,4.173333333,0.10016,0.150849447,ug per liter per hour per indiv,,,,,,,,,,,,,Scenedesmus obtusiusculus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,about 150 indiv so divided it out
Gardner and Miller III 1980,Intracellular composition and net release rates of free amino acids in daphnia magna,Daphnia,magna,5,,,,,,,,,,,,,13,,22,nmol ammonium per mg dry weight per hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner and Miller III 1981,Intracellular composition and net release rates of free amino acids in daphnia magna,Daphnia,magna,5,,,,,,,,,,,,,20,,4,nmol ammonium per mg dry weight per hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner and Miller III 1982,Intracellular composition and net release rates of free amino acids in daphnia magna,Daphnia,magna,5,,,,,,,,,,,,,35,,16,nmol ammonium per mg dry weight per hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner and Miller III 1983,Intracellular composition and net release rates of free amino acids in daphnia magna,Daphnia,magna,5,,,,,,,,,,,,,17,,3,nmol ammonium per mg dry weight per hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner and Miller III 1984,Intracellular composition and net release rates of free amino acids in daphnia magna,Daphnia,magna,5,,,,,,,,,,,,,20,,4,nmol ammonium per mg dry weight per hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner and Miller III 1985,Intracellular composition and net release rates of free amino acids in daphnia magna,Daphnia,magna,5,,,,,,,,,,,,,34,,8,nmol ammonium per mg dry weight per hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner and Miller III 1986,Intracellular composition and net release rates of free amino acids in daphnia magna,Daphnia,magna,5,,,,,,,,,,,,,18,,11,nmol ammonium per mg dry weight per hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner and Miller III 1987,Intracellular composition and net release rates of free amino acids in daphnia magna,Daphnia,magna,5,,,,,,,,,,,,,28,,12,nmol ammonium per mg dry weight per hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner and Miller III 1988,Intracellular composition and net release rates of free amino acids in daphnia magna,Daphnia,magna,5,,,,,,,,,,,,,21,,3,nmol ammonium per mg dry weight per hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scavia and Gardner 1982,Kinetics of nitrogen and phosphorus release in varying food supplies by Daphnia magna,Daphnia,magna,12,20,,,,,,,,,,,,80.5,0.027048,42.95486003,nmol_N per mg per hour per indiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scavia and Gardner 1983,Kinetics of nitrogen and phosphorus release in varying food supplies by Daphnia magna,Daphnia,magna,12,20,,,,,,,,,,,,41.3,0.0138768,17.66691824,nmol_N per mg per hour per indiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scavia and Gardner 1984,Kinetics of nitrogen and phosphorus release in varying food supplies by Daphnia magna,Daphnia,magna,4,20,,,,,,,,,,,,21.7,0.0072912,11.8,nmol_N per mg per hour per indiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiltshire and Lampert 1999,Urea excretion by Daphnia: A colony-inducing factor in Scenedesmus?,Daphnia,magna,3,20,,,,,,,,,,,,0.76,,0.103923048,ug per mg per hour per dry wt,,,,,,,,,,,,,Scenedesmus obliquuus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiltshire and Lampert 1999,Urea excretion by Daphnia: A colony-inducing factor in Scenedesmus?,Daphnia,magna,3,20,,,,,,,,,,,,0.45,,0.346410162,ug per mg per hour per dry wt,,,,,,,,,,,,,Scenedesmus obliquuus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,starved
Chow-Fraser and Sprules 1992/ Kersting and van der Leeuw 1976,"Type-3 functional response in limnetic suspension-feeders, as demonstrated by in situ grazing rates",Daphnia,magna,,,77,,,,ml/animal/day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degans and De Meester 2002,Top-down control of natural phyto- and bacterioplankton prey communities by Daphnia magna and by the natural zooplankton community of the hypertrophic Lake Blankaart,Daphnia,magna,,,0.011,0.005,,,biomass.uL per ug per hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degans and De Meester 2002,Top-down control of natural phyto- and bacterioplankton prey communities by Daphnia magna and by the natural zooplankton community of the hypertrophic Lake Blankaart,Daphnia,magna,,,0.007,0.0008,,,biomass.uL per ug per hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Lange and Van Reeuwijk 2003,Negative effects of UVB-irradiated phytoplankton on life history traits and fitness of Daphnia magna,Daphnia,mgana,12,,,,,,,,,,,,,,,,,,,,5.9,0.346410162,,days to maturity,,,,,,Chlamydomonas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Lange and Van Reeuwijk 2004,Negative effects of UVB-irradiated phytoplankton on life history traits and fitness of Daphnia magna,Daphnia,mgana,10,,,,,,,,,,,,,,,,,,,,6,0,,days to maturity,,,,,,Cryptomonas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fernandez-Casalderrey, Ferrando and Moliner 1993",Effect of the insecticide methylparathion on filtration and ingestion rates of Brachionus caluciflorus and Daphnia magna,Daphnia,magna,,,1005,,,,ul/indi/hour,,,,,,,,,,,,,,,,,,,,,,,Nannochloris oculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"unclear how many replicates or what error bars are-- filtration, ingestion also available"
Ferrando and Andreu 1993,Feeding behaviour as an index of copper stress in Daphnia magna and Brachionus calyciflorus,Daphnia,mgana,5,25,1588,,,,ul/ind/hr,,,,,,,,,,,,,,,,,,,,,,,Nannochloris oculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"unclear what error bars are -- filtration, ingestion also available"
"Hansen, Bjorsen and Hansen 1997",Zooplankton grazing and growth: scaling within the 2-2000-um body size range,Daphnia,magna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porter et al 1982,,Daphnia,magna,,,0.033,,,,per hour,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippova and Postnov 1988,,Daphnia,magna,,,0.0329,,,,per hour,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippova and Postnov 1988,,Daphnia,magna,,,0.117,,,,per hour,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kersting and van der Leeuf 1976,,Daphnia,magna,,,0.0141,,,,per hour,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon and Rigler 1965,,Daphnia,magna,,,0.061,,,,per hour,9.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon and Rigler 1965,,Daphnia,magna,,,0.0425,,,,per hour,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon and Rigler 1965,,Daphnia,magna,,,0.031,,,,per hour,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon and Rigler 1965,,Daphnia,magna,,,0.0585,,,,per hour,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1965,,Daphnia,magna,,,0.166,,,,per hour,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1966,,Daphnia,magna,,,0.162,,,,per hour,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1967,,Daphnia,magna,,,0.083,,,,per hour,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1968,,Daphnia,magna,,,0.085,,,,per hour,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1969,,Daphnia,magna,,,0.141,,,,per hour,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1970,,Daphnia,magna,,,0.072,,,,per hour,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1971,,Daphnia,magna,,,0.062,,,,per hour,6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurgens et al 1996,Feeding rates of macro- and microzooplankton on heterotrophic nanoflagelletes,Daphnia,magna,3,20,2115.6,223.3,,,ul per indiv per hour,,,,,,,,,,,,,,,,,,,,,,,Spumella sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurgens et al 1997,Feeding rates of macro- and microzooplankton on heterotrophic nanoflagelletes,Daphnia,magna (juvenile),3,20,476,76.4,,,ul per indiv per hour,,,,,,,,,,,,,,,,,,,,,,,Spumella sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurgens et al 1998,Feeding rates of macro- and microzooplankton on heterotrophic nanoflagelletes,Daphnia,magna,3,20,2780,484.6,,,ul per indiv per hour,,,,,,,,,,,,,,,,,,,,,,,Bodo saltans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurgens et al 1999,Feeding rates of macro- and microzooplankton on heterotrophic nanoflagelletes,Daphnia,magna (juvenile),3,20,1084.2,133.2,,,ul per indiv per hour,,,,,,,,,,,,,,,,,,,,,,,Bodo saltans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leu, Faerovig and Hessen 2006",UV effects on stoichiometry and PUFAs of Selenastrum capricornutum and their consequences for the grazer Daphnia magna,Daphnia,magna,5,,0.31,0.18,,,mL/animal/hour,,,,,,,,,,,,,,,,,,,,,,,Selenastrum capricornutum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leu, Faerovig and Hessen 2006",UV effects on stoichiometry and PUFAs of Selenastrum capricornutum and their consequences for the grazer Daphnia magna,Daphnia,magna,5,,0.244,0.184,,,mL/animal/hour,,,,,,,,,,,,,,,,,,,,,,,Selenastrum capricornutum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leu, Faerovig and Hessen 2006",UV effects on stoichiometry and PUFAs of Selenastrum capricornutum and their consequences for the grazer Daphnia magna,Daphnia,magna,5,,0.277,0.101,,,mL/animal/hour,,,,,,,,,,,,,,,,,,,,,,,Selenastrum capricornutum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leu, Faerovig and Hessen 2006",UV effects on stoichiometry and PUFAs of Selenastrum capricornutum and their consequences for the grazer Daphnia magna,Daphnia,magna,5,,0.86,0.57,,,mL/animal/hour,,,,,,,,,,,,,,,,,,,,,,,Selenastrum capricornutum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leu, Faerovig and Hessen 2006",UV effects on stoichiometry and PUFAs of Selenastrum capricornutum and their consequences for the grazer Daphnia magna,Daphnia,magna,5,,1.4,0.22,,,mL/animal/hour,,,,,,,,,,,,,,,,,,,,,,,Selenastrum capricornutum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leu, Faerovig and Hessen 2006",UV effects on stoichiometry and PUFAs of Selenastrum capricornutum and their consequences for the grazer Daphnia magna,Daphnia,magna,5,,2.86,1.19,,,mL/animal/hour,,,,,,,,,,,,,,,,,,,,,,,Selenastrum capricornutum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
