citation,Title,Search,Data Extracted,Data Type,Why N,action?
Biesinger and Christensen 1972,"Effects of Various metals on survival, growth and reproduction and metabolism of Daphnia magna",daphnia magna,N,,didn't report actual growth/repro just ion concentrations where it was reduced,
Bodar et al 1988,Effect of cadmium on the reproduction strategy of Daphnia magna,daphnia magna,yes,reproduction/growth,,
Brausch et al 2010,"Effects of functionalized fullerenes on bifenthrin and tribufos toxicity to daphnia magna: survival, reproduction, and growth rate",daphnia magna,yes,reproduction/growth,,
Bridges et al 1996,"Chronic toxicity of Great lakes sediments to Daphnia magna: elutriate effects on survival, reproduction and population growth",daphnia magna,yes,reproduction/growth,,
"Fernandez-Casalderrey, Ferrando, and Andreu-Moliner 1993","Effects of endosulfan on survival, growth, and reproduction of Daphnia magna",daphnia magna,yes,reproduction/growth/survival,,
Chandini 1989,"Survival, growth and reproduction of Daphnia carinata (Crustacea:Cladocera) Exposed to chronic cadium stress at different food (Chlorella) levels",daphnia magna,N,,not daphnia magna but does have 3 food concentrations so may be worth going back to,
Chevre et al 2005,"Modeling the concentration-response function of the herbicide dinoseb of Daphnia magna (survival time, reproduction) and Pseudokirchneriella subcapitata (growth rate)",daphnia magna,yes,survival/ algae growth,also worth looking at model,
Dave 1984,"Effects of flouride on growth, reproduction and survival in daphnia magna",daphnia magna,N,"has survival curves but not days to death…which maybe would be better hmmm…, has body length but not obviously analogous to my data but could be worth checking out later",,
Dave 1984a,"Effects of waterborne iron on growth, reproduction, survival and haemoglobin in Daphnia magna",daphnia magna,yes,survival,,
De Coen and Janssen,The use of biomarkers in Daphnia magna toxicity testing. IV. Cellular Energy allocation: a new methodology to assess the energy budget of toxicant-stressed Daphnia populations,daphnia magna,N,,population level,
Duchet et al 2010,"Chitobiase activity as an indicator of altered survival, growth, and reproduction in Daphnia pulex and Daphnia magna (Crustacea: Cladocera) exposed to spinosad and diflubenzuron",daphnia magna,N,,population level,
"Fernandez-Casalderrey, Ferrando, and Andreu-Moliner 1995","Chronic toxicity of methylparathion to Daphnia magna: Effects on survival, reproduction and growth",daphnia magna,N,,no control reported?,
Flaherty and Dodson 2005,"Effects of pharmaceuticals on Daphnia survival, growth, and reproduction",daphnia magna,N,,just show p values,
Haeba et al 2008,"Selected endocrine disrupting compounds (vinclozolin, flutamide, ketoconazole and dicofol): effects on survival, occurrence of males, growth, molting and reproduction of Daphnia magna",daphnia magna,yes,reproduction,,
Hanazato 1991,"Effects of long and short-term exposure to carbaryl on survival, growth and reproduction of Daphnia ambigua",daphnia magna,N,,not daphnia magna,
Hayashi et al 2008,Reproduction recovery of the crustacean Daphnia magna after chronic exposure to ibuprofen,daphnia magna,yes,reproduction/growth,,
Heckmann et al. 2007,Chronic toxicity of ibuprofen to Daphnia magna: Effects on life history traits and population dynamics,daphnia magna,N,,no control numbers reported,
Huggett and Stoddard 2011,"Effects of the artificial sweetener sucralose on Daphnia magna and Americamysis bahia survival, growth and reproduction",daphnia magna,N,,not outcomes of interest,
"Kamaya, Tokita and Suzuki 2005","Effects of dehydroabietic acid and abietic acid on survival, reproduction, and growth of the crustacean Daphnia magna",daphnia magna,yes,growth,,
Leeuwen et al 1985,"Aquatic toxicological aspects of dithiocarbamatesa nd related compounds. II Effects on survival, reproduction and growth of daphnia magna",daphnia magna,N,,not obvious outcomes but does have survival curves,
Lurling and Tolman 2009,"Effects of lanthanum and lanthanum-modified clay on growth, survival and reproduction of Daphnia magna",daphnia magna,yes,growth,,
Martinez-Jeronimo et al 1994,"Effect of food type and concentration on the survival, longevity, and reproduction of Daphnia magna",daphnia magna,yes,growth/survival,no daily reproduction does have survival curves,
McKee and Knowles 1986,"Effects of Fenvalerate on Biochemical Paramters, Survival, and Reproduction of Daphnia magna",daphnia magna,N,,endpoints not of interest,
Omojowo et al 2009,Evaluation of Citric acid and potassium sorbate as preservatives on the safety and shelf-life of smoked catfish,daphnia magna,N,,not about daphnia,
"Sancho, Villarroel and Ferrando 2016","Assessment of chronic effects of tebuconazole on survival, reproduction and growth of Daphnia magna after different exposure times",daphnia magna,yes,reproduction/growth,,
Stephenson and Watts,Chronic toxicity tests with Daphnia magna: the effects of different food and temperature regimes on survival reproduction and growth,daphnia magna,N,,error reported is confusing…..,
Agatz et al ,"SI Feeding inhibition explains effects of imidacloprid on the growth, maturation, reproduction and survival of Daphnia magna",daphnia magna,N,,has survival and growth curves,
Villarroel et al 2003,"Acute, chronic and sublethal effects of the herbicide propanil on Daphnia magna",daphnia magna,yes,reproduction/growth,,
Zeman et al 2008,"Effects of waterborne uranium on survival, growth, reproduction and physiological processes of the freshwater cladoceran Daphnia magna",daphnia magna,yes,reproduction,,
"Zhu, Chang, and Chen 2010",Toxicity and bioaccumulation of TiO2 nanoparticle aggregates in Daphnia magna,daphnia magna,yes,reproduction/growth,,
Adamsson et al 1998,"Toxicity identification evaluation of ammonia, nitrate and heavy metals at the stensund wasterwater aquaculture plant, sweden",excretion,N,,about ammonium toxicity to d. magna,
Adamsson 2000,"Potential use of human urine by greenhouse culturing of microalgae (Scenedesmus acuminatus), zooplankton(Daphnia magna) and tomatoes",excretion,N,,not endpoints of interest,
Al-Reasi et al 2013,The effect of dissolved organic matter (DOM) on sodium transport and nitrogenous wastete excretion of the freshwater cladoceran (Daphnia magna) at circumneutral and low pH,excretion,yes,excretion,,
Arner and Koivisto 1993,Effects of salinity on metabolism and life history characteristics of Daphnia magna,excretion,yes,excretion,"also has growth curves, citation that D.magna produces ammonium as waste product, and time scale of 5 hours ",
"Baillieul, Selens and Blust 1996",Scope for growth and fitness of Daphnia magna in salinity-stressed conditions,excretion,N,,has growth and survival curves,
Bianchini and Wood 2003,Mechanisms of acute silver toxicity in daphnia magna,excretion,N,,not endpoints of interest,
Bohrer and Lampert 1988,Simultaneous measurement of the effect of food concentration on assimilation and respiration in daphnia magna Straus,excretion,N,,assimilation rate and respiration rate,
Coen and Janssen,The missing biomarker link: relationships between effects on the cellular energy allocation biomarker of toxicant-stressed Daphnia magna and corresponding population characteristics,excretion,N,,could get reproduction,
"Xiang, Yang and Chen 2011","Concentration-response function of nitrite on survival,molting, and reproduction of Daphnia similoides",excretion,N,,not daphnia magna,
"Conover, Bedo and Spry 1988",Arctic zooplankton prefer living ice algae: a caution for zooplankton excretion measurements,excretion,N,,not daphnia magna,
Fish and Morel 1983,Characterization of organic copper-complexing agents released by Daphnia magna,excretion,N,,copper excretion,
Fukuhara and Yasuda 1989,Ammonium excretion by some freshwater zoobenthos from a eutrophic lake,excretion,N,,not daphnia,
Gardner and Miller III 1980,Intracellular composition and net release rates of free amino acids in daphnia magna,excretion,yes,excretion,,
Guo et al 2013,Biological uptake and depuration of radio-labeled graphene by daphnia magna,excretion,N,,graphene,
Lampert and Gabriel ,Tracer kinetics in Daphnia: an improved two-compartment model and experimental test,excretion,N,,respiration and carbon,
Lei and Armitage 1979,Ecological energetics of a daphnia ambigua popultion,excretion,N,,not daphnia magna but does have excretion for other Daphnia sp.,
McMahon and Rigler 1962,Mechanisms of regulating the feeding rate of daphnia magna straus,excretion,N? ,,has interesting feeding parameters ma,
Oude and Gulati 1988,"Phosphorus and nitrogen excretion rates of zooplankton from the eutrophic Loosdrecht lakes, with notes on other P sources for phytoplankton requirements",excretion,N,,mixed species but has excretion ,
Rigler 1961,The relation between concentration of food and feeding rate of daphnia magna straus,excretion,N,,has feeding uptake curve for a different paper,
Rousseaux et al 2010,Effects of medium renewal and handling stress on life history traits in Daphnia,excretion,N,,genus level not species,
Scanlan et al 2015,"Gene transcription, metabolite and lipid profiling in eco-indicator Daphnia magna indicate diverse mechanisms of toxicity by legacy and emerging flame-retardants",excretion,N,,not endpoints of interest,
Scavia and McFarland 1982,Phosphorus release patterns and the effects of reproductive stage and ecdysis in Daphnia magna,excretion,N,,phosphorus excretion not nitrogen,
Scavia and Gardner 1982,Kinetics of nitrogen and phosphorus release in varying food supplies by Daphnia magna,excretion,yes,excretion,,
Sterner and Smith 1993,"Clearance, ingestion and release of N and P by Daphnia obtusa feeding on scenedesmus acutus of varying quality",excretion,N,,not D. magna,
Vanderploeg et al 1986,Ammonium release by zooplankton in suspensions of heat killed algae and an evaluation of the flow-cell method,excretion,N,,D. pulex- but has excretion and is very similar species,
Wiltshire and Lampert 1999,Urea excretion by Daphnia: A colony-inducing factor in Scenedesmus?,excretion,yes,excretion,,
Leung et al 2009,Impacts of un-ionized ammonia in digested piggery effluent on reproductive performance and longevity of Daphnia carinata and Moina australiensis,excretion,N,,not D. magna,
Wojtal-Frankiewicz and Frankiewicz,The impact of pelagic (Daphnia longispina) and benthic (Dreissena polymorpha) filter feeds on chlorophyll and nutrient concentration,excretion,N,,not D. magna  - might be worth reading for discussion of different functional groups affects on nutrients,
Borgmann and Borgmann 1997,"Control of ammonia toxicity to hyalella azteca by sodium, potassium and ph",excretion,N,,toxicity test,
Allen et al. 1995,A mechanistic model of contaminant-induced feeding inhibition in Daphnia magna,feeding,N,,control feeding not reported,
Barata et al 2007,Combined use of biomarkers and in situ bioassays in Daphnia magna to monitor environmental hazards of pesticides in the field,feeding,N,,toxicity test,
Chow-Fraser and Sprules 1992,"Type-3 functional response in limnetic suspension-feeders, as demonstrated by in situ grazing rates",feeding,yes,feeding,But has the data from 4 other papers- one of the papers was on my list but I can't get access so took data from this paper about that paper,
Cooley 1977,Filtering rate performance of Daphnia retrocurva in Pulp mill effluent,feeding,N,,not D. magna,
D'agostino and Provasoli 1970,"Dixenic culture of Daphnia magna, straus",feeding,N,,about multi generation reproduction,
Damasio et al 2007,"Combined use of Daphnia magna in situ bioassays, biomarkers and biological indices to diagnose and identify environmental pressures on invertebrate communities in two meditteranean urbanized and industrialized rivers (NE Spain)",feeding,N,,data presented as percent of control so no raw numbers,
Degans and De Meester 2002,Top-down control of natural phyto- and bacterioplankton prey communities by Daphnia magna and by the natural zooplankton community of the hypertrophic Lake Blankaart,feeding,yes,feeding,,
De Lange and Van Reeuwijk 2003,Negative effects of UVB-irradiated phytoplankton on life history traits and fitness of Daphnia magna,feeding,yes,growth ,also has pop growth rate,
Donk and Hessen 1992,Grazing and resistance in nutrient-stressed phytoplankton,feeding,N,,too long of time frame and doesn't acct for algae growth,
Donk and Hessen 1995,Reduced digestibility of UV-B stressed and nutrient limited algae by Daphnia magna,feeding,N,,confused by disappearance rate- maybe worth revisiting if don't find enough info elsewhere,
"Fernandez-Casalderrey, Ferrando and Moliner 1993",Effect of the insecticide methylparathion on filtration and ingestion rates of Brachionus caluciflorus and Daphnia magna,feeding,yes,feeding,,
Ferrando and Andreu 1993,Feeding behaviour as an index of copper stress in Daphnia magna and Brachionus calyciflorus,feeding,yes,feeding,,
Fulton 1988,Grazing on filamentous algae by herbivorous zooplankton,feeding,N,,isnt D.magna- does have for D. pulex,
"Grant, Egan and Alexander 1983",Measurement of rates of grazing of the ostracod Cyprinotus carolinesis on blue-green algae,feeding,N,,not D.magna,
Haney_1971,An in situ method for the measurement of zooplankton grazing rates,feeding,N,,isnt D.magna- does have for Ceriodaphnia,
"Hansen, Bjorsen and Hansen 1997",Zooplankton grazing and growth: scaling within the 2-2000-um body size range,feeding,yes,,has data from many studies in a nice table,
Jurgens et al 1996,Feeding rates of macro- and microzooplankton on heterotrophic nanoflagelletes,feeding,yes,feeding,,
Juchelka and Snell 1993,Rapid toxicity assessment using rotifer ingestion rate,feeding,N,,not D.magna,
"Leu, Faerovig and Hessen 2006",UV effects on stoichiometry and PUFAs of Selenastrum capricornutum and their consequences for the grazer Daphnia magna,feeding,yes,feeding,,
"Lovern, Strickler, and Klaper 2007","Behavioral and physiological changes in Daphnia magna when exposed to nanoparticle suspensions (Titanium dioxide, nano-C60, and C60HxC70Hx)",feeding,N,,endpoints not of interest,
"Lurling, Lange and Van Donk 1997",Changes in food quality of the green alga Scendesmus induced by Daphnia infochemicals: biochemical composition and morphology,feeding,yes,feeding,,
McCauley and Downing 1985,The prediction of cladoceran grazing rate spectra,feeding,N,,not D.magna,
McMahon 1965,Some physical factors influencing the feeding behavior of Daphnia magna straus,feeding,yes,feeding,,
McWilliam and Baird 2001,Postexposure feeding depression: a new toxicity endpoint for use in laboratory studies with Daphnia magna,feeding,N,,has feeding data but graphs are confusing….,
Miner et al 2012,Linking genes to communities and ecosystems: Daphnia as an ecogenomic model,feeding,N,,review,
"Nizan, Dimentman and Shilo 1986",Acute toxic effects of the cyanobacterium Microcystis aeruginosa of Daphnia magna,feeding,yes,feeding,"also has survival curves, feeding only reported on cyano??",
"Olsen, Varum and Jensen 1986",Some characteristics of the carbon compounds released by Daphnia,feeding,N,,has feeding but per C,
Panosso and Lurling 2010,"Daphnia magna feeding on Cylindrospermopsis raciborskii: the role of food composition, filament length and body size",feeding,N,,has clearance rates,
Persson et al 2011,Increased risk of phosphorus limitation at higher temperatures for Daphnia magna,feeding,N,,has growth rates,
Peters and Rigler 1973,Phosphorus release by Daphnia,feeding,N,,not D. magna,
"Peterson, Hobbie and Haney 1978",Daphnia grazing on natural bacteria,feeding,N,,not D. magna,
Porter 1976,Enhancement of Algal Growth and productivity by grazing zooplankton,feeding,yes,feeding,,
"Porter, Gerritsen and Orcutt Jr.","The effect of food concentration on swimming patterns, feeding behavior, ingestion, assimilation, and respiration by Daphnia",FROM OTHER PAPER- Chow-Fraser et al,yes,feeding,,
"Porter, Feig and Vetter 1983","Morphology, flow regimes and filtering rates of Daphnia, Ceriodaphnia, and Bosmina fed natrual bacteria",feeding,yes,feeding,,
Horton et al 1978,Browsing and grazing by cladoceran filter feeders,feeding,N,,not D. magna,
Ryther 1954,Inhibitory effects of phytoplankton upon the feeding of daphnia magna,feeding,yes,feeding,,
"Sahuquillo, Melao and Miracle 2007",Low filtering rates of Daphnia magna in a hypertrophic lake: laboratory and in situ experiments using synthetic microspheres,feeding,N,,clearance rates ,
Sommer 1988,Phytoplankton succession in microcosm experiments under simulataneous grazing pressure and resource limitation,feeding,N,,endpoints not of interest,
Watts and Young 1980,Componetns of Daphnia feeding behaviour 1980,feeding,N,,endpoints not of interest,
Miyazaki et al ,Effects of Ammonium concentration and dilution on the competition between cyanobacterium microcystis novacekii and the green alga scenedesmus quadricuada,max uptake,yes,,,
